log_spread,time_ns,throughput_melem_s,work
0,3.9871,250.81,1
1,3.9657,252.16,1
2,3.9642,252.26,1
3,3.9652,252.20,1
4,3.9642,252.26,1
5,3.9643,252.25,1
6,3.9644,252.24,1
7,3.9644,252.25,1
8,3.9643,252.25,1
9,3.9863,250.86,1
10,3.9671,252.07,1
11,3.9646,252.23,1
12,3.9646,252.23,1
13,3.9646,252.22,1
14,3.9666,252.10,1
15,3.9896,250.65,1
16,3.9783,251.36,1
17,3.9783,251.36,1
18,5.3575,186.65,1
19,8.0351,124.45,1
20,9.6684,103.43,1
21,10.115,98.864,1
22,10.347,96.647,1
23,10.480,95.417,1
24,14.396,69.464,1
25,38.548,25.941,1
26,48.314,20.698,1
27,56.017,17.852,1
28,57.548,17.377,1
29,59.027,16.941,1
30,60.113,16.635,1
0,110.25,290.26,32
1,110.25,290.26,32
2,110.25,290.26,32
3,110.31,290.16,32
4,110.25,290.24,32
5,110.33,290.13,32
6,110.25,290.26,32
7,110.87,288.66,32
8,110.25,290.26,32
9,110.33,290.14,32
10,110.25,290.26,32
11,110.68,289.30,32
12,110.25,290.26,32
13,110.25,290.26,32
14,110.72,289.23,32
15,110.27,290.24,32
16,110.26,290.23,32
17,110.72,289.06,32
18,110.65,289.38,32
19,110.25,290.26,32
20,116.83,273.94,32
21,117.87,271.66,32
22,116.65,274.45,32
23,117.12,274.28,32
24,126.62,253.68,32
25,151.82,211.31,32
26,163.84,195.61,32
27,170.65,187.72,32
28,174.44,183.69,32
29,176.43,181.44,32
30,175.95,181.91,32
